company,facility_name,city,province,country,gid_0,lat,lon,revenue_weight,bws_score,bws_label,drr_score,drr_label,aqueduct_source,tsmc_self_rated_risk,source_url,rfr_score,join_level,composite_score_l1,risk_label,disruption_prob,facility_annual_rev_m,daily_rev_m,annual_rar_m,annual_rar_pct_rev
TSMC,Hsinchu Science Park,Hsinchu,Hsinchu,Taiwan,TWN,24.7881,120.997,0.3225806451612903,1.5,,,, TSMC ESG 2024 (self-rated),Mid-to-low,https://esg.tsmc.com/file/public/e-APractitionerofGreenPower_2.pdf,1.2,taiwan_self_reported,28.2,Medium,0.05,22354.8,61.25,42.9,0.062
TSMC,Taichung Fab,Taichung,Taichung,Taiwan,TWN,24.1477,120.6736,0.16129032258064516,1.5,,,,TSMC ESG 2024 (self-rated),Mid-to-low,https://esg.tsmc.com/file/public/e-APractitionerofGreenPower_2.pdf,1.4,taiwan_self_reported,29.4,Medium,0.05,11177.4,30.62,21.4,0.031
TSMC,Southern Taiwan Science Park (Tainan),Tainan,Tainan,Taiwan,TWN,22.9999,120.227,0.3763440860215054,1.8,,,,TSMC ESG 2024 (self-rated),Mid-to-low,https://esg.tsmc.com/file/public/e-APractitionerofGreenPower_2.pdf,1.6,taiwan_self_reported,34.8,Medium,0.05,26080.6,71.45,50.0,0.072
TSMC,Fab 21 (Phoenix),Phoenix,Arizona,United States,USA,33.4484,-112.074,0.08602150537634409,4.747276249,Extremely High (>80%),1.35,Low-Medium,Aqueduct 4.0 Ind weight,High,https://esg.tsmc.com/file/public/e-APractitionerofGreenPower_2.pdf,0.553993738,province,69.79,High,0.2,5961.3,16.33,45.7,0.066
TSMC,JASM (Kumamoto),Kumamoto,Kumamoto,Japan,JPN,32.8031,130.7079,0.05376344086021506,1.049590609,Low (<10%),1.81,Low-Medium,Aqueduct 4.0 Ind weight,Mid-to-low,https://esg.tsmc.com/file/public/e-APractitionerofGreenPower_2.pdf,1.671294768,province,24.72,Medium,0.05,3725.8,10.21,7.1,0.01
TSMC,Fab Dresden (in construction),Dresden,Sachsen,Germany,DEU,51.0504,13.7373,0.02,2.824725,Medium-High (20-40%),2.96,Medium,Aqueduct 4.0 Ind weight,,https://www.tsmc.com/english/news-events/blog/blog_20230808,0.495033905,province,42.52,Medium-High,0.1,1386.0,3.8,5.3,0.008
ASML,Veldhoven HQ + Manufacturing,Veldhoven,Noord-Brabant,Netherlands,NLD,51.4082,5.3999,0.7,3.101794687,Medium-High (20-40%),2.54,Medium,Aqueduct 4.0 Ind weight,,https://www.asml.com/en/company/about-asml/locations,0.117201273,province,44.13,Medium-High,0.15,19320.0,52.93,111.2,0.403
ASML,Linkou Factory,Taoyuan,Taoyuan,Taiwan,TWN,25.033,121.301,0.2,1.5,,,,TSMC ESG 2024 (Taiwan proxy),,https://www.asml.com/en/company/about-asml/locations,1.3,taiwan_self_reported,28.8,Medium,0.05,5520.0,15.12,10.6,0.038
ASML,Tainan Factory,Tainan,Tainan,Taiwan,TWN,22.9999,120.227,0.1,1.8,,,,TSMC ESG 2024 (Taiwan proxy),,https://www.asml.com/en/company/about-asml/locations,1.6,taiwan_self_reported,34.8,Medium,0.05,2760.0,7.56,5.3,0.019
Samsung,Hwaseong Fab,Hwaseong,Gyeonggi-do,South Korea,KOR,37.2001,126.9783,0.55,2.10636963,Medium-High (20-40%),2.03,Medium,Aqueduct 4.0 Ind weight,,https://semiconductor.samsung.com/us/consumer-storage/internal-ssd/,0.636351203,province,33.31,Medium,0.1,31625.0,86.64,121.3,0.211
Samsung,Pyeongtaek Fab,Pyeongtaek,Gyeonggi-do,South Korea,KOR,36.9921,127.113,0.45,2.10636963,Medium-High (20-40%),2.03,Medium,Aqueduct 4.0 Ind weight,,https://semiconductor.samsung.com/us/consumer-storage/internal-ssd/,0.636351203,province,33.31,Medium,0.1,25875.0,70.89,99.2,0.173
Intel,Fab 52/62 (Chandler),Chandler,Arizona,United States,USA,33.3062,-111.8413,0.6,4.747276249,Extremely High (>80%),1.35,Low-Medium,Aqueduct 4.0 Ind weight,,https://www.intel.com/content/www/us/en/corporate-responsibility/environment.html,0.553993738,province,69.79,High,0.2,32520.0,89.1,249.5,0.46
Intel,Hillsboro (D1X),Hillsboro,Oregon,United States,USA,45.5229,-122.9898,0.4,2.901511847,Low (<10%),1.47,Low-Medium,Aqueduct 4.0 Ind weight,,https://www.intel.com/content/www/us/en/corporate-responsibility/environment.html,1.172879759,province,47.66,Medium-High,0.1,21680.0,59.4,83.2,0.153
